22/12:30pm,43,1024.9
22/12:00pm,45,1025.4
22/11:30am,49,1026.0
22/11:00am,54,1026.6
22/10:30am,58,1027.0
22/10:00am,60,1027.0
22/09:30am,63,1027.2
22/09:00am,66,1027.1
22/08:30am,71,1027.0
22/08:00am,74,1026.8
22/07:30am,80,1026.7
22/07:00am,84,1026.4
22/06:30am,84,1026.2
22/06:00am,83,1025.9
22/05:30am,82,1025.6
22/05:00am,82,1025.4
22/04:30am,82,1025.2
22/04:00am,81,1025.2
22/03:30am,82,1025.2
22/03:00am,82,1025.4
22/02:30am,82,1025.4
22/02:00am,81,1025.4
22/01:30am,80,1025.4
22/01:00am,81,1025.5
22/12:30am,80,1025.6
22/12:00am,79,1025.8
,,
